,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max
USD_GBP_HGH_PRC,4544.0,1.586691517165493,0.22867758238444666,1.171166,1.22414,1.257229,1.2917277999999999,1.3875112500000002,1.574642,1.76324875,1.9305428,1.9880812999999997,2.0485739499999998,2.11582
USD_GBP_LOW_PRC,4544.0,1.5743338204225352,0.22792523278996366,0.637389,1.2148732,1.24810165,1.2829364,1.37567675,1.5641500000000002,1.7492995,1.9157827000000003,1.9750963,2.03350599,2.098812
USD_GBP_CLS_PRC,4544.0,1.5807466102552816,0.2280750190532052,1.149439,1.22027159,1.2523080500000001,1.2875130000000001,1.3818335,1.5696495000000001,1.75573325,1.923817,1.9819736,2.042817,2.108192
USD_GBP_ADJ_PRC,4544.0,1.5807466102552816,0.2280750190532052,1.149439,1.22027159,1.2523080500000001,1.2875130000000001,1.3818335,1.5696495000000001,1.75573325,1.923817,1.9819736,2.042817,2.108192
BTC_USD_OPN_PRC,2466.0,7816.0345855746145,11862.094871424293,176.897003,223.90895350000002,237.21724725,274.78950499999996,465.3720095,4370.7050785,9246.80468775,15280.8046875,37363.30957025,57834.465624749995,63523.753906
BTC_USD_HGH_PRC,2466.0,8039.837677099757,12235.098024555902,211.731003,228.0161531,240.98199449999998,279.78300449999995,471.36449450000003,4449.7900389999995,9399.840576249999,15817.868164,38771.334961249995,59056.45957064998,64863.097656
BTC_USD_LOW_PRC,2466.0,7567.284541055556,11417.153236231965,171.509995,220.53420215,235.118748,269.40850850000004,456.9047625,4251.3000489999995,9089.1384275,14321.9501955,35586.162109749996,56168.52949209999,62208.964844
BTC_USD_CLS_PRC,2466.0,7827.605143438768,11868.797597691926,178.102997,223.6856465,237.30324925000002,274.8484955,465.51300775,4374.0649415,9250.451172,15311.608887,37334.012695749996,57838.8556639,63503.457031
BTC_USD_VLM,2466.0,12798590742.785076,19800857861.286,5914570.0,12097370.0,17860075.0,24647150.0,69099800.0,4069515000.0,19119007624.25,39905472046.0,53388118582.0,77292850022.59998,350967941479.0
BTC_USD_ADJ_PRC,2466.0,7827.605143438768,11868.797597691926,178.102997,223.6856465,237.30324925000002,274.8484955,465.51300775,4374.0649415,9250.451172,15311.608887,37334.012695749996,57838.8556639,63503.457031
KOSPI_OPN_PRC,5299.0,1617.7877920362332,623.5741188137573,466.57,522.2779999999999,590.13,699.3140000000001,991.765,1840.56,2035.9450000000002,2286.38,2456.986999999999,3143.4709999999995,3276.2
KOSPI_HGH_PRC,5299.0,1627.1751783355348,624.959588139229,472.31,528.5946000000001,598.094,708.0600000000001,997.755,1852.36,2043.61,2295.648,2466.6639999999998,3162.9552,3281.96
KOSPI_LOW_PRC,5299.0,1605.940505755803,621.5636548053769,463.54,514.0366,583.927,692.93,981.845,1819.18,2025.1750000000002,2270.88,2444.9999999999995,3121.3354,3262.58
KOSPI_CLS_PRC,5300.0,1617.054562264151,623.2917295088578,468.76,522.3258000000001,590.2489999999999,700.663,988.5325,1839.1550000000002,2033.7600000000002,2283.3860000000004,2456.1955,3140.656300000001,3278.68
KOSPI_VLM,5300.0,460596.3837735849,260381.27567352066,66076.0,188798.28,224050.8,252825.1,308423.75,390982.5,519545.25,735620.6,942649.2000000001,1604718.2000000016,3455504.0
KOSDAQ_OPN_PRC,5298.0,645.2785183087957,268.0388287376606,247.8,339.1558,391.099,453.885,506.11,600.7850000000001,704.41,836.139,953.2929999999999,2068.4169999999885,2894.6
KOSDAQ_HGH_PRC,5298.0,650.1794563986409,274.7585371121968,272.68,342.4758,394.659,457.89700000000005,507.97,604.205,708.85,843.448,960.0509999999995,2114.6939999999977,2925.5
KOSDAQ_LOW_PRC,5298.0,637.8241449603623,259.51870844470267,245.06,335.01009999999997,385.475,448.98199999999997,501.36,595.38,699.0225,826.185,942.7134999999994,1977.4849999999924,2815.9
KOSDAQ_CLS_PRC,5299.0,643.6257576901302,266.86131703808445,261.19,338.8286,389.12,453.226,504.38,599.91,703.75,834.91,953.6039999999999,2058.6219999999994,2834.4
KOSDAQ_VLM,5299.0,627665.7418380827,418237.24454047735,64949.0,165849.5,234305.69999999998,282848.2,387079.5,540968.0,714148.0,971900.1999999996,1476934.7999999998,2289026.67999998,5067754.0
KPI200_OPN_PRC,3822.0,252.10779434850863,52.05193084720145,121.31,143.4989,171.12900000000002,180.283,225.5025,252.75,272.92249999999996,311.984,328.77549999999997,427.09950000000003,436.61
KPI200_HGH_PRC,3822.0,253.58123495552067,52.23299672491479,127.66,145.93630000000002,172.474,181.42,227.28,253.745,274.4625,313.925,330.1675,430.09799999999996,449.04
KPI200_LOW_PRC,3822.0,250.3173704866562,51.95107983996524,117.91,140.94519999999997,168.907,178.754,223.82,251.135,271.15749999999997,309.995,327.0195,424.1033,434.39
KPI200_CLS_PRC,3822.0,252.01673992673992,52.05657694559062,123.27,143.72809999999998,171.01,180.30100000000002,225.54250000000002,252.345,272.6775,312.016,328.96950000000004,426.9785,437.3
KPI200_VLM,3822.0,108817.67294610152,56001.750321618005,36913.0,49774.659999999996,56756.8,61742.700000000004,73049.5,92178.5,122616.0,178296.1,229058.4,314347.63,545782.0
